date,month,precipitation,water_level,precipitation_7days,precipitation_15days,precipitation_30days,precipitation_t+1,precipitation_t+2,precipitation_t+3,precipitation_t+4,precipitation_t+5,precipitation_t+6,precipitation_t+7,water_level_t-1,water_level_t-2,flood_occurred,target_water_level
2016-01-01,1,0.0,9.300000190734863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.300000190734863,9.300000190734863,False,9.3
2016-01-02,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.300000190734863,9.300000190734863,False,9.3
2016-01-03,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.300000190734863,False,9.3
2016-01-04,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-05,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-06,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-07,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-08,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-09,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-10,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-11,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,False,9.3
2016-01-12,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,9.3,9.3,False,9.3
2016-01-13,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.7,9.3,9.3,False,9.3
2016-01-14,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.7,0.8,9.3,9.3,False,9.3
2016-01-15,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.7,0.8,0.0,9.3,9.3,False,9.3
2016-01-16,1,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.3,12.7,0.8,0.0,0.0,9.3,9.3,False,9.3
2016-01-17,1,0.0,9.3,0.0,0.0,0.0,0.0,0.3,12.7,0.8,0.0,0.0,0.0,9.3,9.3,False,9.3
