date,water_level,station_name,basin_name,latitude,longitude,date,month,year
2019-01-01 08:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,1,1,2019
2019-01-01 08:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,1,1,2019
2019-01-01 13:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,1,1,2019
2019-01-01 13:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,1,1,2019
2019-01-01 18:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,1,1,2019
2019-01-01 18:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,1,1,2019
2019-01-02 08:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,2,1,2019
2019-01-02 08:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,2,1,2019
2019-01-02 13:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,2,1,2019
2019-01-02 13:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,2,1,2019
2019-01-02 18:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,2,1,2019
2019-01-02 18:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,2,1,2019
2019-01-03 08:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,3,1,2019
2019-01-03 08:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,3,1,2019
2019-01-03 13:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,3,1,2019
2019-01-03 13:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,3,1,2019
2019-01-03 18:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,3,1,2019
2019-01-03 18:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,3,1,2019
2019-01-04 08:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,4,1,2019
2019-01-04 08:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,4,1,2019
2019-01-04 13:00:00,8.982,Vijayawada,Krishna,16.5011,80.625,4,1,2019
2019-01-04 13:00:03,8.982,Vijayawada,Krishna,16.5011,80.625,4,1,2019
2019-01-04 18:00:00,8.962,Vijayawada,Krishna,16.5011,80.625,4,1,2019
2019-01-04 18:00:03,8.962,Vijayawada,Krishna,16.5011,80.625,4,1,2019
2019-01-05 08:00:00,8.962,Vijayawada,Krishna,16.5011,80.625,5,1,2019
2019-01-05 08:00:03,8.962,Vijayawada,Krishna,16.5011,80.625,5,1,2019
2019-01-05 13:00:00,8.962,Vijayawada,Krishna,16.5011,80.625,5,1,2019
2019-01-05 13:00:03,8.962,Vijayawada,Krishna,16.5011,80.625,5,1,2019
2019-01-05 18:00:00,8.962,Vijayawada,Krishna,16.5011,80.625,5,1,2019
2019-01-05 18:00:03,8.962,Vijayawada,Krishna,16.5011,80.625,5,1,2019
2019-01-06 08:00:00,8.962,Vijayawada,Krishna,16.5011,80.625,6,1,2019
